3,60,22128,1462723201
3,60,22128,1462723202
109,435,206092,1459526401
109,435,12741,1459526404
109,435,12741,1459526405
109,435,211659,1459526406
109,435,211659,1459526407
109,435,211659,1459526408
109,435,12742,1459526409
109,435,24492,1459526410
109,435,12743,1459526411
109,435,5193,1459526412
109,435,5193,1459526413
109,435,135724,1459526414
109,435,206093,1459526415
109,435,89583,1459526417
109,435,142463,1459526419
109,435,142463,1459526420
109,435,142463,1459526421
109,435,35187,1459526423
109,435,35187,1459526424
109,435,18965,1459526425
232,715,65352,1455379201
232,715,4328,1455379202
232,715,11815,1455379203
232,715,4588,1455379204
232,715,175659,1455379205
232,715,25285,1455379206
382,961,58958,1455033601
382,961,387,1455033602
382,961,387,1455033603
548,1300,4991,1455292801
548,1300,89212,1455292802
548,1300,89212,1455292803
626,1425,35099,1457539202
626,1425,5855,1457539203
626,1425,14222,1457539204
626,1425,80102,1457539205
638,1437,6078,1456156801
638,1437,35997,1456156802
638,1437,90248,1456156803
956,2135,181281,1460217602
956,2135,249,1460217603
956,2135,645,1460217605
956,2135,32832,1460217606
956,2135,35712,1460217607
956,2135,47708,1460217608
994,2252,83920,1460217601
994,2252,32166,1460217602
994,2252,10858,1460217603
994,2252,33511,1460217604
994,2252,44119,1460217605
994,2252,44119,1460217606
994,2252,4053,1460217607
994,2252,5132,1460217608
994,2252,36602,1460217609
1145,2512,80501,1457884801
1145,2512,69131,1457884802
1187,2565,3253,1460476801
1187,2565,79130,1460476802
1187,2565,5417,1460476803
1187,2565,35384,1460476804
1187,2565,35416,1460476805
1187,2565,36643,1460476806
1248,2652,6417,1455379201
1248,2652,38268,1455379202
1248,2652,62173,1455379203
1248,2652,97365,1455379204
1266,2707,8756,1452787201
1266,2707,8756,1452787202
1266,2707,31321,1452787203
1278,2756,51495,1457452801
1278,2756,51495,1457452802
1278,2756,28681,1457452803
1520,3448,62139,1462550401
1520,3448,57756,1462550402
1520,3448,5848,1462550403
1525,3455,4523,1456761601
1525,3455,4523,1456761602
1525,3455,8960,1456761603
1525,3455,21996,1456761604
1525,3455,41874,1456761605
1525,3455,22951,1456761606
1525,3455,36685,1456761607
1525,3455,25487,1456761608
1525,3455,6850,1456761609
1525,3455,90483,1456761610
1525,3455,90483,1456761611
1525,3455,29847,1456761612
1585,3563,33224,1454256001
1585,3563,33224,1454256002
1723,3949,4535,1464278402
1723,3949,35888,1464278403
1893,4334,24512,1457193601
1893,4334,57563,1457193602
2011,4598,35378,1451836801
2011,4598,5417,1451836802
1248,4717,5140,1452268801
1248,4717,142666,1452268802
1248,4847,5140,1451923202
1248,4847,5140,1451923203
1248,4847,5140,1451923204
1248,4847,142666,1451923212
1248,4847,142666,1451923213
1248,4847,35472,1451923217
1248,4847,35472,1451923218
1248,4847,13400,1451923219
1248,4847,131217,1451923221
1248,4847,131217,1451923222
1248,4847,6544,1451923224
3616,6279,13931,1453305602
3616,6279,47296,1453305603
3616,6279,47296,1453305604
4491,7155,1886,1453824001
4491,7155,10951,1453824002
4491,7155,7628,1453824004
4491,7155,143,1453824005
4491,7155,48508,1453824006
4491,7155,20884,1453824007
4491,7155,48769,1453824008
4491,7155,50567,1453824009
4491,7155,1880,1453824010
4491,7155,10942,1453824013
4522,7190,169914,1453824002
4522,7190,169914,1453824003
4522,7190,169914,1453824004
4522,7190,169914,1453824005
4522,7190,169914,1453824006
4522,7190,111067,1453824008
4522,7190,111067,1453824009
4522,7190,15873,1453824010
4522,7190,21927,1453824012
4522,7190,32549,1453824013
4522,7190,85888,1453824014
4522,7190,85888,1453824015
4522,7190,85888,1453824016
4522,7190,85888,1453824017
4522,7190,76264,1453824018
4522,7190,132840,1453824019
4522,7190,132840,1453824020
4522,7190,132840,1453824021
4522,7190,5421,1453824023
4522,7190,133485,1453824024
4548,7216,59298,1453824001
4548,7216,59298,1453824002
4548,7216,59298,1453824003
4548,7216,116305,1453824004
4548,7216,116305,1453824005
4548,7216,233732,1453824008
4548,7216,12262,1453824009
4548,7216,35499,1453824010
4548,7216,36310,1453824012
4746,7417,33092,1453910401
4746,7417,42665,1453910402
4844,7515,46660,1455120001
4844,7515,46660,1455120002
4844,7515,68288,1455120003
4877,7549,52320,1453910401
4877,7549,52320,1453910402
4877,7549,2104,1453910403
